Average retail price of electricity monthly
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=01&endsec=vg&freq=M&start=200801&end=202010&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
13:19:44 GMT-0800 (PST)
Source: U.S. Energy Information Administration
Month,Pacific Contiguous : all sectors cents per kilowatthour
Oct 2020,15.73
Sep 2020,16.66
Aug 2020,16.48
Jul 2020,16.13
Jun 2020,15.53
May 2020,14.02
Apr 2020,13.2
Mar 2020,13.45
Feb 2020,13.41
Jan 2020,13.38
Dec 2019,13.12
Nov 2019,13.71
Oct 2019,13.56
Sep 2019,15.5
Aug 2019,15.3
Jul 2019,15.19
Jun 2019,14.75
May 2019,13.27
Apr 2019,12.36
Mar 2019,12.73
Feb 2019,12.89
Jan 2019,12.65
Dec 2018,13.02
Nov 2018,13.31
Oct 2018,13.53
Sep 2018,14.32
Aug 2018,15.68
Jul 2018,15.09
Jun 2018,14.49
May 2018,13.22
Apr 2018,12.1
Mar 2018,12.88
Feb 2018,12.61
Jan 2018,12.72
Dec 2017,12.45
Nov 2017,13.04
Oct 2017,13.38
Sep 2017,14.89
Aug 2017,14.71
Jul 2017,14.42
Jun 2017,14.37
May 2017,12.85
Apr 2017,11.21
Mar 2017,12.6
Feb 2017,12.42
Jan 2017,12.25
Dec 2016,12.19
Nov 2016,12.52
Oct 2016,12.11
Sep 2016,14.06
Aug 2016,14.38
Jul 2016,14.07
Jun 2016,13.51
May 2016,12.45
Apr 2016,10.96
Mar 2016,11.99
Feb 2016,12
Jan 2016,12.08
Dec 2015,12.04
Nov 2015,12.52
Oct 2015,13.29
Sep 2015,14.59
Aug 2015,14.22
Jul 2015,14.38
Jun 2015,13.39
May 2015,12.3
Apr 2015,10.85
Mar 2015,11.8
Feb 2015,11.8
Jan 2015,11.89
Dec 2014,11.85
Nov 2014,12.42
Oct 2014,12.98
Sep 2014,14.46
Aug 2014,14.27
Jul 2014,14.16
Jun 2014,13.25
May 2014,12.1
Apr 2014,10.25
Mar 2014,11.29
Feb 2014,11.31
Jan 2014,11.45
Dec 2013,11.1
Nov 2013,11.65
Oct 2013,12.29
Sep 2013,13.17
Aug 2013,13.13
Jul 2013,13.24
Jun 2013,13.15
May 2013,11.62
Apr 2013,10.93
Mar 2013,10.83
Feb 2013,10.88
Jan 2013,10.92
Dec 2012,10.67
Nov 2012,10.95
Oct 2012,11.44
Sep 2012,13.04
Aug 2012,12.8
Jul 2012,11.99
Jun 2012,12.25
May 2012,10.92
Apr 2012,10.5
Mar 2012,10.46
Feb 2012,10.47
Jan 2012,10.68
Dec 2011,10.29
Nov 2011,10.67
Oct 2011,11.28
Sep 2011,11.95
Aug 2011,12.08
Jul 2011,12.24
Jun 2011,11.61
May 2011,10.68
Apr 2011,10.22
Mar 2011,10.15
Feb 2011,10.27
Jan 2011,10.39
Dec 2010,10.32
Nov 2010,10.51
Oct 2010,11.16
Sep 2010,12.1
Aug 2010,11.98
Jul 2010,11.98
Jun 2010,11.64
May 2010,10.58
Apr 2010,10.05
Mar 2010,10.28
Feb 2010,9.96
Jan 2010,10.18
Dec 2009,10.22
Nov 2009,9.8
Oct 2009,11.23
Sep 2009,12.4
Aug 2009,12.45
Jul 2009,12.46
Jun 2009,11.79
May 2009,10.96
Apr 2009,10.26
Mar 2009,10.16
Feb 2009,10.17
Jan 2009,10.2
Dec 2008,9.94
Nov 2008,10.54
Oct 2008,10.74
Sep 2008,11.45
Aug 2008,11.84
Jul 2008,11.58
Jun 2008,11.42
May 2008,10.13
Apr 2008,9.66
Mar 2008,9.72
Feb 2008,9.73
Jan 2008,9.82
Dec 2007,10.05
Nov 2007,10.38
Oct 2007,10.79
Sep 2007,11.79
Aug 2007,11.79
Jul 2007,11.86
Jun 2007,11.38
May 2007,10.29
Apr 2007,9.86
Mar 2007,9.92
Feb 2007,9.83
Jan 2007,10.21
Dec 2006,10.18
Nov 2006,10.42
Oct 2006,10.43
Sep 2006,11.6
Aug 2006,11.79
Jul 2006,12.49
Jun 2006,11.53
May 2006,10.28
Apr 2006,9.9
Mar 2006,9.75
Feb 2006,9.63
Jan 2006,8.98
Dec 2005,9.36
Nov 2005,9.36
Oct 2005,9.64
Sep 2005,10.41
Aug 2005,10.79
Jul 2005,10.93
Jun 2005,10.43
May 2005,9.41
Apr 2005,9.12
Mar 2005,8.86
Feb 2005,9.21
Jan 2005,9.06
Dec 2004,8.71
Nov 2004,9.45
Oct 2004,9.7
Sep 2004,10.19
Aug 2004,10.32
Jul 2004,10.38
Jun 2004,10.03
May 2004,9.17
Apr 2004,8.75
Mar 2004,9.23
Feb 2004,9.35
Jan 2004,9.2
Dec 2003,9.36
Nov 2003,9.64
Oct 2003,9.27
Sep 2003,9.01
Aug 2003,10.77
Jul 2003,11.52
Jun 2003,10.66
May 2003,10.02
Apr 2003,9.65
Mar 2003,8.84
Feb 2003,9.48
Jan 2003,9.56
Dec 2002,9.8
Nov 2002,9.93
Oct 2002,10.67
Sep 2002,10.29
Aug 2002,11.09
Jul 2002,11.48
Jun 2002,10.62
May 2002,10.02
Apr 2002,9.28
Mar 2002,9.37
Feb 2002,9.2
Jan 2002,9.38
Dec 2001,9.26
Nov 2001,9.47
Oct 2001,10.66
Sep 2001,10.87
Aug 2001,11.02
Jul 2001,11.11
Jun 2001,9.45
May 2001,8.24
Apr 2001,8.25
Mar 2001,8.27
Feb 2001,7.76
Jan 2001,7.2
